,id,title,imdb_id,original_language,release_date,revenue,vote_average
406,38129,Martin Lawrence: You So Crazy,tt0111804,en,4/27/1994,0.0,4.5
407,10436,The Age of Innocence,tt0106226,en,9/17/1993,32255440.0,7.0
408,13595,Airheads,tt0109068,en,8/5/1994,0.0,5.8
410,9409,Another Stakeout,tt0106292,en,7/22/1993,0.0,4.9
411,11853,Bad Girls,tt0109198,en,4/22/1994,15240435.0,4.6
412,16771,Barcelona,tt0109219,en,7/29/1994,0.0,6.6
413,46924,Being Human,tt0106379,en,5/6/1994,0.0,5.0
415,306,Beverly Hills Cop III,tt0109254,en,5/24/1994,119208989.0,5.5
416,14522,Black Beauty,tt0109279,en,7/29/1994,0.0,6.6
418,178,Blown Away,tt0109303,en,7/1/1994,30156002.0,6.0
419,19819,Blue Chips,tt0109305,en,2/18/1994,0.0,5.7
420,57834,Blue Sky,tt0109306,en,9/16/1994,0.0,6.1
421,4722,Body Snatchers,tt0106452,en,6/9/1993,428868.0,5.8
422,18215,Boxing Helena,tt0106471,en,6/18/1993,1796389.0,4.5
423,1607,A Bronx Tale,tt0106489,en,9/14/1993,17287898.0,7.4
425,117553,Calendar Girl,tt0106505,en,9/3/1993,2570145.0,3.7
427,11310,City Slickers II: The Legend of Curly's Gold,tt0109439,en,6/10/1994,0.0,4.9
428,18658,Clean Slate,tt0109443,en,5/6/1994,7355425.0,5.7
429,9350,Cliffhanger,tt0106582,en,5/28/1993,255000211.0,6.1
430,9612,Coneheads,tt0106598,en,7/23/1993,0.0,4.8
431,2124,Color of Night,tt0109456,en,8/19/1994,19726050.0,5.4
432,26261,Cops & Robbersons,tt0109480,en,4/15/1994,0.0,5.0
433,19176,The Cowboy Way,tt0109493,en,6/3/1994,0.0,5.1
435,11566,Dave,tt0106673,en,5/7/1993,63000000.0,6.3
436,9571,Dazed and Confused,tt0106677,en,9/24/1993,7993039.0,7.4
438,24257,The Endless Summer 2,tt0109729,en,6/3/1994,0.0,7.1
439,34444,Even Cowgirls Get the Blues,tt0106834,en,5/13/1994,0.0,4.2
442,50463,The Favor,tt0109783,en,4/29/1994,0.0,3.3
445,16297,With Honors,tt0111732,en,4/29/1994,0.0,6.1
447,25440,Widows' Peak,tt0111712,en,5/13/1994,0.0,4.3
449,37233,The Firm,tt0106918,en,6/30/1993,270248367.0,6.6
450,1634,Free Willy,tt0106965,en,7/16/1993,153698625.0,6.0
451,13815,Fresh,tt0109842,en,8/24/1994,0.0,7.6
452,5503,The Fugitive,tt0106977,en,8/6/1993,368875760.0,7.2
454,2087,The Getaway,tt0109890,en,2/11/1994,30.0,5.4
455,41579,Getting Even with Dad,tt0109891,en,6/17/1994,0.0,4.5
456,18620,Go Fish,tt0109913,en,6/10/1994,0.0,3.9
457,41006,A Good Man in Africa,tt0109920,en,7/14/1994,0.0,5.2
458,4916,Guilty as Sin,tt0107057,en,6/4/1993,22886222.0,5.6
459,2019,Hard Target,tt0107076,en,8/20/1993,74189677.0,6.1
461,9255,Hot Shots! Part Deux,tt0107144,en,5/21/1993,133752825.0,6.2
462,26271,Live Nude Girls,tt0113674,en,12/8/1995,0.0,4.7
463,10612,The Englishman Who Went Up a Hill But Came Down a Mountain,tt0112966,en,5/12/1995,0.0,6.1
466,11934,The Hudsucker Proxy,tt0110074,en,3/11/1994,0.0,7.1
467,106143,I'll Do Anything,tt0110097,en,2/4/1994,0.0,5.7
468,12475,In the Army Now,tt0110123,en,8/12/1994,28881266.0,4.7
469,9386,In the Line of Fire,tt0107206,en,7/8/1993,176997168.0,6.8
471,59930,The Inkwell,tt0110137,en,4/22/1994,8880705.0,3.9
472,15765,What's Love Got to Do with It,tt0108551,en,6/9/1993,0.0,6.9
473,31643,Jimmy Hollywood,tt0110197,en,3/30/1994,0.0,4.6
475,329,Jurassic Park,tt0107290,en,6/11/1993,920100000.0,7.6
476,10909,Kalifornia,tt0107302,en,9/1/1993,2395231.0,6.5
478,34024,King of the Hill,tt0107322,en,8/20/1993,0.0,6.4
479,29918,Lassie,tt0110305,en,7/22/1994,0.0,6.1
480,9593,Last Action Hero,tt0107362,en,6/18/1993,137298489.0,6.1
481,42580,Life With Mikey,tt0107413,en,6/4/1993,0.0,5.1
482,22317,Lightning Jack,tt0110353,en,3/11/1994,0.0,5.7
483,1413,M. Butterfly,tt0107468,en,9/9/1993,1499795.0,6.6
484,12121,Made in America,tt0107478,en,5/27/1993,0.0,5.3
485,2246,Malice,tt0107497,en,9/29/1993,46405336.0,5.9
486,10502,The Man without a Face,tt0107501,en,8/25/1993,24760338.0,6.2
487,10440,Manhattan Murder Mystery,tt0107507,en,8/18/1993,11285588.0,7.1
488,9516,Menace II Society,tt0107554,en,5/26/1993,27900000.0,7.2
489,2320,Executive Decision,tt0116253,en,3/15/1996,121969216.0,5.8
491,83718,What Happened Was...,tt0111689,en,9/9/1994,0.0,7.0
492,11971,Much Ado About Nothing,tt0107616,en,5/7/1993,0.0,7.2
496,21450,Naked,tt0107653,en,9/14/1993,0.0,7.5
497,11231,The Next Karate Kid,tt0110657,en,7/18/1994,15826984.0,4.8
498,41588,The New Age,tt0110649,en,9/16/1994,0.0,4.8
499,10447,No Escape,tt0110678,en,4/29/1994,15340000.0,6.1
500,31586,North,tt0110687,en,7/22/1994,0.0,4.8
501,9300,Orlando,tt0107756,en,9/1/1992,0.0,6.7
504,713,The Piano,tt0107822,en,5/19/1993,116700000.0,7.1
505,8291,Poetic Justice,tt0107840,en,7/23/1993,27515786.0,6.9
506,18133,The Program,tt0107889,en,9/24/1993,23042200.0,6.0
509,10872,The Ref,tt0110955,en,3/9/1994,11439193.0,6.7
511,11858,Renaissance Man,tt0110971,en,6/3/1994,24332324.0,5.9
512,7007,Rising Sun,tt0107969,en,7/30/1993,107198790.0,5.8
514,5550,RoboCop 3,tt0107978,en,4/17/1993,10696210.0,4.2
515,8005,Robin Hood: Men in Tights,tt0107977,en,7/28/1993,35739755.0,6.4
516,2088,Romeo Is Bleeding,tt0107983,en,9/13/1993,3275585.0,5.7
517,10412,Romper Stomper,tt0105275,en,3/5/1992,0.0,6.6
519,14534,Rudy,tt0108002,en,9/17/1993,22750363.0,7.2
523,35233,The Scout,tt0111094,en,9/30/1994,0.0,5.3
524,14291,Searching for Bobby Fischer,tt0108065,en,8/13/1993,7266383.0,7.3
525,103413,Second Best,tt0111102,en,9/30/1994,0.0,5.9
526,11236,The Secret Garden,tt0108071,en,8/13/1993,0.0,7.1
527,11592,Serial Mom,tt0111127,en,4/13/1994,7820688.0,6.4
528,8850,The Shadow,tt0111143,en,7/1/1994,48063435.0,5.4
530,695,Short Cuts,tt0108122,en,9/5/1993,6110979.0,6.9
531,43535,A Simple Twist of Fate,tt0111194,en,9/2/1994,0.0,5.7
533,23210,Six Degrees of Separation,tt0108149,en,12/8/1993,0.0,6.5
534,858,Sleepless in Seattle,tt0108160,en,6/24/1993,227799884.0,6.5
535,867,Sliver,tt0108162,en,5/21/1993,116300000.0,4.9
536,78,Blade Runner,tt0083658,en,6/25/1982,33139618.0,7.9
537,13203,Son in Law,tt0108186,en,7/2/1993,36448200.0,5.6
538,10442,So I Married an Axe Murderer,tt0108174,en,7/30/1993,11585483.0,6.1
539,11074,Striking Distance,tt0108238,en,9/17/1993,0.0,5.4
541,9607,Super Mario Bros.,tt0108255,en,5/28/1993,20915465.0,4.0
542,17585,Surviving the Game,tt0111323,en,4/15/1994,7690013.0,6.1
543,9057,Terminal Velocity,tt0111400,en,9/23/1994,16478900.0,5.0
545,10635,Threesome,tt0111418,en,4/8/1994,0.0,6.3
549,41590,Trial by Jury,tt0111488,en,9/9/1994,0.0,5.5
550,319,True Romance,tt0108399,en,9/9/1993,12281551.0,7.5
551,26408,The War Room,tt0108515,en,12/5/1993,0.0,7.3
553,161158,"Paris, France",tt0107779,en,2/4/1994,0.0,6.0
555,85247,Killer,tt0110259,en,9/14/1994,0.0,3.0
556,11446,Welcome to the Dollhouse,tt0114906,en,5/24/1995,0.0,6.9
557,51980,Germinal,tt0107002,en,9/29/1993,0.0,6.3
558,24405,Chasers,tt0109403,en,4/22/1994,1596687.0,4.7
559,11655,Cronos,tt0104029,en,9/12/1993,0.0,6.4
563,31504,Little Big League,tt0110363,en,6/29/1994,0.0,6.0
565,53185,Wide Eyed and Legless,tt0111709,en,9/5/1993,0.0,0.0
566,95743,Foreign Student,tt0109828,en,7/29/1994,0.0,0.0
569,10897,The Little Rascals,tt0110366,en,8/5/1994,67308282.0,6.3
570,349394,À la mode,tt0106878,en,9/10/1993,0.0,0.0
571,21352,Andre,tt0109120,en,8/17/1994,0.0,5.0
573,37345,Princess Caraboo,tt0110892,en,9/16/1994,3021629.0,4.4
577,124304,I Don't Want to Talk About It,tt0106678,en,5/20/1993,0.0,6.0
578,9066,The Brady Bunch Movie,tt0112572,en,2/16/1995,0.0,5.9
580,251,Ghost,tt0099653,en,7/12/1990,505000000.0,6.9
582,280,Terminator 2: Judgment Day,tt0103064,en,7/1/1991,520000000.0,7.7
584,80350,Tough and Deadly,tt0114706,en,2/14/1995,0.0,6.3
585,268,Batman,tt0096895,en,6/23/1989,411348924.0,7.0
586,274,The Silence of the Lambs,tt0102926,en,2/1/1991,272742922.0,8.1
589,10895,Pinocchio,tt0032910,en,2/23/1940,84300000.0,6.9
590,114,Pretty Woman,tt0100405,en,3/23/1990,463000000.0,7.0
592,576,The Wild Bunch,tt0065214,en,6/17/1969,638641.0,7.7
594,59146,The Wooden Man's Bride,tt0111752,en,2/5/1994,0.0,6.5
595,124472,A Great Day in Harlem,tt0109934,en,9/27/1994,0.0,7.0
596,30528,Bye Bye Love,tt0112606,en,3/16/1995,0.0,6.1
598,10824,Candyman: Farewell to the Flesh,tt0112625,en,3/17/1995,13940383.0,5.0
599,261246,Century,tt0106537,en,12/31/1993,0.0,5.0
600,275,Fargo,tt0116282,en,4/5/1996,60611975.0,7.7
601,25059,Homeward Bound II: Lost in San Francisco,tt0116552,en,3/8/1996,32709423.0,6.0
602,11827,Heavy Metal,tt0082509,en,8/7/1981,0.0,6.3
603,8766,Hellraiser: Bloodline,tt0116514,en,3/8/1996,16675000.0,4.9
604,23570,The Pallbearer,tt0117283,en,5/3/1996,0.0,4.6
605,47333,Jane Eyre,tt0116684,en,2/9/1996,0.0,7.1
606,54850,Loaded,tt0110374,en,4/12/1996,0.0,4.0
610,46029,Two Much,tt0118001,en,2/14/1996,0.0,5.1
611,32308,Ed,tt0116165,en,3/15/1996,0.0,3.6
614,123505,A Modern Affair,tt0113839,en,9/6/1996,0.0,5.0
615,340210,Condition Red,tt0112712,en,12/8/1995,0.0,4.7
617,28121,A Thin Line Between Love and Hate,tt0117891,en,4/4/1996,0.0,5.7
618,12520,The Last Supper,tt0113613,en,9/8/1995,442965.0,6.5
